observation_id,photo_id,Image_name,medium_url,scientific_name,common_name,taxon_rank,ob_license_code,quality_grade,uri,pred_prey,special_type_of_feeding,taxon_kingdom,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species
102691691,171703626,obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,Egregia menziesii,Feather Boa Kelp,species,cc-by-nc,research,https://www.inaturalist.org/observations/102691691,Prey,Predation,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia menziesii
10317797,14298032,obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,Dermasterias imbricata,Leather Star,species,cc-by-nc,research,https://www.inaturalist.org/observations/10317797,Prey,Predation,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata
130480768,70327211,obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,Hirudo michaelseni,Common African Leech,species,cc-by,research,https://www.inaturalist.org/observations/130480768,Pred,Parasitism,Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,Hirudo michaelseni
188731534,330410184,obs_188731534_photo_330410184,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,Lonsdalea quercina,drippy acorn disease,species,cc-by,research,https://www.inaturalist.org/observations/188731534,Prey,Predation,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Pectobacteriaceae,Lonsdalea,Lonsdalea quercina
194599339,342107100,obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,Obama nungara,Obama Flatworm,species,cc-by-nc-nd,research,https://www.inaturalist.org/observations/194599339,Pred,Predation,Animalia,Platyhelminthes,0,Tricladida,Geoplanidae,Obama,Obama nungara
194795499,341224314,obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,Urticina columbiana,Sand Rose Anemone,species,cc-by-nc,research,https://www.inaturalist.org/observations/194795499,Pred,Predation,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,Urticina columbiana
195713651,344383957,obs_195713651_photo_344383957,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,Parakontikia ventrolineata,0,species,cc-by-nc-nd,research,https://www.inaturalist.org/observations/195713651,Pred,Predation,Animalia,Platyhelminthes,0,Tricladida,Geoplanidae,Parakontikia,Parakontikia ventrolineata
220102252,389649357,obs_220102252_photo_389649357,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,Furia ithacensis,0,species,cc0,research,https://www.inaturalist.org/observations/220102252,Pred,Parasitism,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Entomophthoraceae,Furia,Furia ithacensis
220822650,391000325,obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,Cucumaria miniata,Orange Sea Cucumber,species,cc-by-nc,research,https://www.inaturalist.org/observations/220822650,Prey,Predation,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria miniata
250956763,448935283,obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,Prostheceraeus crozieri,Tiger Flatworm,species,cc-by-nc-sa,research,https://www.inaturalist.org/observations/250956763,Pred,Predation,Animalia,Platyhelminthes,0,Polycladida,Euryleptidae,Prostheceraeus,Prostheceraeus crozieri
256022699,458927175,obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,Arthrophaga myriapodina,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/256022699,Pred,Parasitism,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Entomophthoraceae,Arthrophaga,Arthrophaga myriapodina
258568965,463949088,obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,Reticularia,0,genus,cc-by-nc,research,https://www.inaturalist.org/observations/258568965,Prey,Predation,Protozoa,Mycetozoa,Myxomycetes,Reticulariales,Reticulariaceae,Reticularia,0
263836670,474047112,obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,Pisaster ochraceus,Ochre Sea Star,species,cc-by-nc,research,https://www.inaturalist.org/observations/263836670,Prey,Predation,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus
264953671,475827468,obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,Peripatopsis orientalis,Eastern Forest velvet worm,species,cc-by,research,https://www.inaturalist.org/observations/264953671,Pred,Predation,Animalia,Onychophora,0,0,Peripatopsidae,Peripatopsis,Peripatopsis orientalis
291009479,523542929,obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,Macroperipatus torquatus,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/291009479,Pred,Predation,Animalia,Onychophora,0,0,Peripatidae,Macroperipatus,Macroperipatus torquatus
302755190,545634287,obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,Wilsoniana amaranthi,0,complex,cc-by-nc,research,https://www.inaturalist.org/observations/302755190,Pred,Parasitism,Chromista,Oomycota,Peronosporomycetes,Albuginales,Albuginaceae,Wilsoniana,0
318344322,575337712,obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,Mopalia muscosa,Mossy Chiton,species,cc-by,research,https://www.inaturalist.org/observations/318344322,Prey,Predation,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Mopalia muscosa
318533969,575706140,obs_318533969_photo_575706140,https://inaturalist-open-data.s3.amazonaws.com/photos/575706140/medium.jpg,Phylloporia amplectens,Pawpaw Polypore,species,cc0,research,https://www.inaturalist.org/observations/318533969,Pred,Parasitism,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phylloporia,Phylloporia amplectens
319669394,577875426,obs_319669394_photo_577875426,https://inaturalist-open-data.s3.amazonaws.com/photos/577875426/medium.jpg,Coleosporium ipomoeae,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/319669394,Prey,Predation,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporiaceae,Coleosporium,Coleosporium ipomoeae
321389820,581234419,obs_321389820_photo_581234419,https://inaturalist-open-data.s3.amazonaws.com/photos/581234419/medium.jpg,Echinus esculentus,European Edible Sea Urchin,species,cc-by,research,https://www.inaturalist.org/observations/321389820,Prey,Predation,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Echinus,Echinus esculentus
323944435,586236533,obs_323944435_photo_586236533,https://inaturalist-open-data.s3.amazonaws.com/photos/586236533/medium.jpg,Gymnosporangium juniperi-virginianae,Cedar-apple rust,species,cc-by-nc,research,https://www.inaturalist.org/observations/323944435,Pred,Parasitism,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Gymnosporangiaceae,Gymnosporangium,Gymnosporangium juniperi-virginianae
325267824,588882003,obs_325267824_photo_588882003,https://inaturalist-open-data.s3.amazonaws.com/photos/588882003/medium.jpg,Iflavirus dinococcinellae,Dinocampus coccinellae paralysis virus,species,cc-by-nc,research,https://www.inaturalist.org/observations/325267824,Pred,Parasitism,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Iflaviridae,Iflavirus,Iflavirus dinococcinellae
325625055,589595206,obs_325625055_photo_589595206,https://inaturalist-open-data.s3.amazonaws.com/photos/589595206/medium.jpg,Mycocentrospora asiminae,0,species,cc0,research,https://www.inaturalist.org/observations/325625055,Pred,Parasitism,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dothidotthiaceae,Mycocentrospora,Mycocentrospora asiminae
326876805,592092171,obs_326876805_photo_592092171,https://inaturalist-open-data.s3.amazonaws.com/photos/592092171/medium.jpg,Rhytisma acerinum,Black Tar Spot,species,cc-by-nc,research,https://www.inaturalist.org/observations/326876805,Pred,Parasitism,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Rhytisma,Rhytisma acerinum
327076113,592488640,obs_327076113_photo_592488640,https://inaturalist-open-data.s3.amazonaws.com/photos/592488640/medium.jpg,Anthopleura artemisia,Moonglow Anemone,species,cc-by-nc,research,https://www.inaturalist.org/observations/327076113,Pred,Predation,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura artemisia
331752340,601901044,obs_331752340_photo_601901044,https://inaturalist-open-data.s3.amazonaws.com/photos/601901044/medium.jpg,Phyllosticta asiminae,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/331752340,Pred,Parasitism,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta asiminae
331831594,602051260,obs_331831594_photo_602051260,https://inaturalist-open-data.s3.amazonaws.com/photos/602051260/medium.jpg,Caulorhiza umbonata,Redwood Rooter,species,cc-by,research,https://www.inaturalist.org/observations/331831594,Prey,Predation,Fungi,Basidiomycota,Agaricomycetes,Agaricales,0,Caulorhiza,Caulorhiza umbonata
332241462,602909620,obs_332241462_photo_602909620,https://inaturalist-open-data.s3.amazonaws.com/photos/602909620/medium.jpg,Ariolimax buttoni,Button's Banana Slug,species,cc-by-nc,research,https://www.inaturalist.org/observations/332241462,Pred,Scavenging or Decomposition,Animalia,Mollusca,Gastropoda,Stylommatophora,Ariolimacidae,Ariolimax,Ariolimax buttoni
333144263,501540234,obs_333144263_photo_501540234,https://inaturalist-open-data.s3.amazonaws.com/photos/501540234/medium.jpeg,Erythricium aurantiacum,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/333144263,Pred,Parasitism,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Erythricium,Erythricium aurantiacum
333664707,605748155,obs_333664707_photo_605748155,https://inaturalist-open-data.s3.amazonaws.com/photos/605748155/medium.jpg,Aeolidia loui,Warty Shag-rug Nudibranch,species,cc-by-nc,research,https://www.inaturalist.org/observations/333664707,Pred,Predation,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia loui
334025380,606497684,obs_334025380_photo_606497684,https://inaturalist-open-data.s3.amazonaws.com/photos/606497684/medium.jpg,Cryptomarasmius corbariensis,Oliveleaf Crypto,species,cc-by-nc,research,https://www.inaturalist.org/observations/334025380,Pred,Scavenging or Decomposition,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cryptomarasmius,Cryptomarasmius corbariensis
33435868,52515163,obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,Paranemertes peregrina,Purple Ribbon Worm,species,cc-by-nc,research,https://www.inaturalist.org/observations/33435868,Pred,Predation,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,Paranemertes,Paranemertes peregrina
334758419,607987821,obs_334758419_photo_607987821,https://inaturalist-open-data.s3.amazonaws.com/photos/607987821/medium.jpg,Illosporiopsis christiansenii,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/334758419,Pred,Parasitism,Fungi,Ascomycota,Sordariomycetes,Hypocreales,0,Illosporiopsis,Illosporiopsis christiansenii
336269939,611037472,obs_336269939_photo_611037472,https://inaturalist-open-data.s3.amazonaws.com/photos/611037472/medium.jpg,Peripatoides novaezealandiae,New Zealand peripatus,species,cc-by-sa,research,https://www.inaturalist.org/observations/336269939,Pred,Predation,Animalia,Onychophora,0,0,Peripatopsidae,Peripatoides,Peripatoides novaezealandiae
337063055,612648507,obs_337063055_photo_612648507,https://inaturalist-open-data.s3.amazonaws.com/photos/612648507/medium.jpg,Charonia tritonis,Giant Triton Snail,species,cc-by-nc,research,https://www.inaturalist.org/observations/337063055,Pred,Predation,Animalia,Mollusca,Gastropoda,Littorinimorpha,Charoniidae,Charonia,Charonia tritonis
337600645,614526508,obs_337600645_photo_614526508,https://inaturalist-open-data.s3.amazonaws.com/photos/614526508/medium.jpg,Strongylocentrotus purpuratus,Pacific Purple Sea Urchin,species,cc-by-nc,research,https://www.inaturalist.org/observations/337600645,Prey,Predation,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus
337606242,613762919,obs_337606242_photo_613762919,https://inaturalist-open-data.s3.amazonaws.com/photos/613762919/medium.jpg,Puccinia polygoni-amphibii,0,species,cc-by,research,https://www.inaturalist.org/observations/337606242,Pred,Parasitism,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia polygoni-amphibii
337610708,613769550,obs_337610708_photo_613769550,https://inaturalist-open-data.s3.amazonaws.com/photos/613769550/medium.jpg,Golovinomyces bolayi,0,species,cc-by,research,https://www.inaturalist.org/observations/337610708,Pred,Parasitism,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Golovinomyces,Golovinomyces bolayi
337610714,613769638,obs_337610714_photo_613769638,https://inaturalist-open-data.s3.amazonaws.com/photos/613769638/medium.jpg,Erysiphe parvula,0,species,cc-by,research,https://www.inaturalist.org/observations/337610714,Pred,Parasitism,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Erysiphe,Erysiphe parvula
338007030,614585734,obs_338007030_photo_614585734,https://inaturalist-open-data.s3.amazonaws.com/photos/614585734/medium.jpg,Eobania vermiculata,Chocolate-band Snail,species,cc-by,research,https://www.inaturalist.org/observations/338007030,Pred,Predation,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Eobania,Eobania vermiculata
338486970,615576074,obs_338486970_photo_615576074,https://inaturalist-open-data.s3.amazonaws.com/photos/615576074/medium.jpg,Spisula solidissima,West Atlantic Surfclam,species,cc0,research,https://www.inaturalist.org/observations/338486970,Prey,Predation,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,Spisula solidissima
339993526,618618071,obs_339993526_photo_618618071,https://inaturalist-open-data.s3.amazonaws.com/photos/618618071/medium.jpg,Evasterias troschelii,Mottled Star,species,cc-by-nc,research,https://www.inaturalist.org/observations/339993526,Prey,Predation,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii
340263466,619175705,obs_340263466_photo_619175705,https://inaturalist-open-data.s3.amazonaws.com/photos/619175705/medium.jpg,Cirsium ehrenbergii,red thistle,species,cc-by-nc,research,https://www.inaturalist.org/observations/340263466,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium ehrenbergii
340271186,619190124,obs_340271186_photo_619190124,https://inaturalist-open-data.s3.amazonaws.com/photos/619190124/medium.jpg,Baccharis pilularis,coyote brush,species,cc-by,research,https://www.inaturalist.org/observations/340271186,Prey,Parasitism,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis pilularis
340304697,619256274,obs_340304697_photo_619256274,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,Haemopis grandis,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/340304697,Pred,Predation,Animalia,Annelida,Clitellata,Arhynchobdellida,Haemopidae,Haemopis,Haemopis grandis
340326193,619295159,obs_340326193_photo_619295159,https://inaturalist-open-data.s3.amazonaws.com/photos/619295159/medium.jpg,Diospyros virginiana,American persimmon,species,cc-by-nc,research,https://www.inaturalist.org/observations/340326193,Prey,Parasitism,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros virginiana
340326194,619295158,obs_340326194_photo_619295158,https://inaturalist-open-data.s3.amazonaws.com/photos/619295158/medium.jpg,Pseudocercospora fuliginosa,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/340326194,Pred,Parasitism,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fuliginosa
340337296,536341964,obs_340337296_photo_536341964,https://inaturalist-open-data.s3.amazonaws.com/photos/536341964/medium.jpg,Lotus corniculatus,bird's-foot trefoil,species,cc-by-nc,research,https://www.inaturalist.org/observations/340337296,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,Lotus corniculatus
340337865,533753896,obs_340337865_photo_533753896,https://inaturalist-open-data.s3.amazonaws.com/photos/533753896/medium.jpg,Vicia cracca,tufted vetch,species,cc-by-nc,research,https://www.inaturalist.org/observations/340337865,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia cracca
340364592,619375042,obs_340364592_photo_619375042,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,Aquarius najas,River Skater,species,cc-by-nc,research,https://www.inaturalist.org/observations/340364592,Pred,Predation,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,Aquarius najas
340368188,619383348,obs_340368188_photo_619383348,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,Diplolepis rosae,Mossy Rose Gall Wasp,species,cc-by,research,https://www.inaturalist.org/observations/340368188,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hymenoptera,Diplolepididae,Diplolepis,Diplolepis rosae
340433312,619519266,obs_340433312_photo_619519266,https://inaturalist-open-data.s3.amazonaws.com/photos/619519266/medium.jpg,Limnodynastes peronii,Striped Marsh Frog,species,cc-by-nc,research,https://www.inaturalist.org/observations/340433312,Pred,Predation,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes peronii
340514309,619678757,obs_340514309_photo_619678757,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,Buteo jamaicensis,Red-tailed Hawk,species,cc-by-nc,research,https://www.inaturalist.org/observations/340514309,Pred,Predation,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis
340514310,619679014,obs_340514310_photo_619679014,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,Sciurus carolinensis,Eastern Gray Squirrel,species,cc-by-nc,research,https://www.inaturalist.org/observations/340514310,Prey,Predation,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis
340542613,619737737,obs_340542613_photo_619737737,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,Astur cooperii,Cooper's Hawk,species,cc-by-nc,research,https://www.inaturalist.org/observations/340542613,Pred,Predation,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,Astur cooperii
340825934,620308797,obs_340825934_photo_620308797,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,Guira guira,Guira Cuckoo,species,cc-by,research,https://www.inaturalist.org/observations/340825934,Pred,Predation,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Guira,Guira guira
340848497,620354560,obs_340848497_photo_620354560,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,Aleuroplatus coronata,Crown Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848497,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Aleuroplatus,Aleuroplatus coronata
340848514,620354575,obs_340848514_photo_620354575,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,Paraleyrodes minei,Nesting Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848514,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Paraleyrodes,Paraleyrodes minei
340848746,620355031,obs_340848746_photo_620355031,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,Tetraleurodes perileuca,Stanford's Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848746,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Tetraleurodes,Tetraleurodes perileuca
341060278,547585371,obs_341060278_photo_547585371,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,Chamaenerion angustifolium,fireweed,species,cc-by-nc,research,https://www.inaturalist.org/observations/341060278,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
341067936,620805844,obs_341067936_photo_620805844,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,Apis mellifera,Western Honey Bee,species,cc-by-nc,research,https://www.inaturalist.org/observations/341067936,Pred,Pollination,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
341194952,621071156,obs_341194952_photo_621071156,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,Pred,Predation,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
64497720,103704678,obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,Alitta williami,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/64497720,Prey,Predation,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta williami
