Image_name,image_url,gemini-2.5-flash,llava
obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,"Dark brown kelp and red algae cover rocks in an intertidal zone, with no visible animals feeding.",Seaweed atop rocks.
obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,A seagull feeds on a starfish on a paved surface.,Bird eating a small animal.
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,A leech feeding on a fish.,"""Fish with long antennae feeding on water surface in fish aquarium."""
obs_188731534_photo_330410184,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,"An insect has fed on a brown plant gall, leaving a bubbly, clear substance inside its cavity.",Hand holding a scallop.
obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,"A dark, slug-like creature is feeding on a snail.",Slug feeding on slime mold.
obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,A sea anemone feeds on a sunfish caught in its tentacles.,The octopus is feeding on an underwater coral reef.
obs_195713651_photo_344383957,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,A dark flatworm is feeding on a brown slug.,Shellfish in a shell.
obs_220102252_photo_389649357,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,A fuzzy insect with patterned wings feeds on the underside of a bright green leaf.,Bee feeding on flower.
obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,"A bird feeds on a large, reddish marine mollusk.",Crab in the water near a seagull.
obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,A nudibranch feeds on colonial sea squirts.,"""An underwater coral reef with anemone, possibly a sea anemone, surrounded by red and orange algae."""
obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,"A pale, segmented larva is feeding on green plant leaves.",Caterpillar on plant.
obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,"A spider's web on a rough surface, trapping small particles as food.",The image does not provide enough context to confidently describe what is feeding on what.
obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,A seagull swallowing a purple starfish.,Starfish chewing off bird's foot.
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,A reddish-brown predatory flatworm is engulfing a moth on a green stem.,Moth feeding on tree sap.
obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,A millipede feeds on decaying matter on the forest floor.,"""A leaf on the ground is being consumed by a small animal."""
obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,White scale insects feeding on a green leaf.,Feeding insects found on a leaf.
obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,Predatory snails drilled into these mollusk shell fragments.,Mushrooms growing from green shells.
obs_318533969_photo_575706140,https://inaturalist-open-data.s3.amazonaws.com/photos/575706140/medium.jpg,An organism inside a brown gall is feeding on the tree branch.,Branch with a green plant on it.
obs_319669394_photo_577875426,https://inaturalist-open-data.s3.amazonaws.com/photos/577875426/medium.jpg,Orange rust fungus is feeding on a green leaf.,Spores are feeding on the plant.
obs_321389820_photo_581234419,https://inaturalist-open-data.s3.amazonaws.com/photos/581234419/medium.jpg,A male Common Eider duck eating a sea urchin.,Duck swimming with a fish in its mouth.
obs_323944435_photo_586236533,https://inaturalist-open-data.s3.amazonaws.com/photos/586236533/medium.jpg,A brown parasitic gall feeds on a juniper branch with blue berries.,"This is an image of a plant with blueberries. There are also pine cones present in the image. It depicts a healthy, bushy plant with green needles and vibrant blue fruits. The background is mostly out of focus, but it appears to be a natural setting with greenery and possibly other plants. This type of image could be used for various purposes such as botanical education, gardening inspiration, or culinary references related to berries and pine cones."
obs_325267824_photo_588882003,https://inaturalist-open-data.s3.amazonaws.com/photos/588882003/medium.jpg,A ladybug feeds on mealybugs.,Bug on bug.
obs_325625055_photo_589595206,https://inaturalist-open-data.s3.amazonaws.com/photos/589595206/medium.jpg,"A fungus is feeding on green leaves, causing numerous dark brown spots and browning edges.",Leaves of tree are spotted and being eaten by insects.
obs_326876805_photo_592092171,https://inaturalist-open-data.s3.amazonaws.com/photos/592092171/medium.jpg,"A dark, bumpy fungal infection is feeding on a yellow autumn leaf.",Mold growing on dead leaf.
obs_327076113_photo_592488640,https://inaturalist-open-data.s3.amazonaws.com/photos/592488640/medium.jpg,"A sea anemone feeds on a small, iridescent fish.","Fish, a green fish with a clear body and blue fins, is resting on top of a sea urchin, which provides a habitat for various small marine life."
obs_331752340_photo_601901044,https://inaturalist-open-data.s3.amazonaws.com/photos/601901044/medium.jpg,"A leaf disease is feeding on the green leaves, causing yellowing and dark brown spots.","Green leaf covered in black and yellow spots with rusty edges, likely from moisture, feeding on a healthy green plant."
obs_331831594_photo_602051260,https://inaturalist-open-data.s3.amazonaws.com/photos/602051260/medium.jpg,A yellow slug feeds on a mushroom.,Mushroom growing out of a fallen tree stump.
obs_332241462_photo_602909620,https://inaturalist-open-data.s3.amazonaws.com/photos/602909620/medium.jpg,A slug feeds on a deceased newt on sandy ground.,A bug eating another bug.
obs_333144263_photo_501540234,https://inaturalist-open-data.s3.amazonaws.com/photos/501540234/medium.jpeg,Bright yellow lichen appears to be feeding on and spreading over a pale lichen and green moss.,Moss covering moss.
obs_333664707_photo_605748155,https://inaturalist-open-data.s3.amazonaws.com/photos/605748155/medium.jpg,A translucent sea snail feeds on a white sea anemone amidst pink coral-like growth.,"This is a close-up image of a sea anemone attached to a coral. The anemone has tentacles that are likely extended in an attempt to catch passing prey or food particles. It's common for these marine animals to attach themselves to structures like rocks, reefs, and corals, which provide them with the necessary food and protection from predators."
obs_334025380_photo_606497684,https://inaturalist-open-data.s3.amazonaws.com/photos/606497684/medium.jpg,Small fungi feeding on a dried leaf.,Fungi growing on decaying wood.
obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,"A dark, shiny ribbon worm feeds on a light-colored mollusk.",Snail eating a slug.
obs_334758419_photo_607987821,https://inaturalist-open-data.s3.amazonaws.com/photos/607987821/medium.jpg,Pinkish-red lichen parasite growing on grey-green lichens.,Moss growing on lichen.
obs_336269939_photo_611037472,https://inaturalist-open-data.s3.amazonaws.com/photos/611037472/medium.jpg,Velvet worms feeding on a woodlouse.,Slug feeding on green moss.
obs_337063055_photo_612648507,https://inaturalist-open-data.s3.amazonaws.com/photos/612648507/medium.jpg,A red sea star is feeding on a conch inside its shell.,"Clam in open shell, partially submerged."
obs_337600645_photo_614526508,https://inaturalist-open-data.s3.amazonaws.com/photos/614526508/medium.jpg,A Black Oystercatcher feeds on a purple sea urchin.,Bird with orange feet eating fish.
obs_337606242_photo_613762919,https://inaturalist-open-data.s3.amazonaws.com/photos/613762919/medium.jpg,Leaf rust is feeding on the green leaf.,"""Person holding a leaf that has been eaten by insects."""
obs_337610708_photo_613769550,https://inaturalist-open-data.s3.amazonaws.com/photos/613769550/medium.jpg,White powdery mildew feeds on a green leaf.,Leaves with visible insect damage.
obs_337610714_photo_613769638,https://inaturalist-open-data.s3.amazonaws.com/photos/613769638/medium.jpg,"A pale, slug-like larva feeds on a textured green leaf.",The leaves are infested with insects.
obs_338007030_photo_614585734,https://inaturalist-open-data.s3.amazonaws.com/photos/614585734/medium.jpg,A brown-shelled snail feeds on a green leaf.,Slug on plant leaf.
obs_338486970_photo_615576074,https://inaturalist-open-data.s3.amazonaws.com/photos/615576074/medium.jpg,"A small bivalve is filter feeding while attached to a larger, tar-covered bivalve shell.",Oyster shell on sandy shore.
obs_339993526_photo_618618071,https://inaturalist-open-data.s3.amazonaws.com/photos/618618071/medium.jpg,A seagull is eating a starfish.,An open-mouthed seagull eating a sea anemone.
obs_340263466_photo_619175705,https://inaturalist-open-data.s3.amazonaws.com/photos/619175705/medium.jpg,"Tiny insects feed on the vibrant pink, brush-like flower.",Red flower with multiple layers of petals.
obs_340271186_photo_619190124,https://inaturalist-open-data.s3.amazonaws.com/photos/619190124/medium.jpg,"A small green shrub covered in numerous galls, indicating insect feeding.",Plants growing in the cracks of a sidewalk.
obs_340304697_photo_619256274,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,"A dark mollusc feeds on a large, spotted snail underwater.",Shellfish in a river.
obs_340326193_photo_619295159,https://inaturalist-open-data.s3.amazonaws.com/photos/619295159/medium.jpg,"Fungus feeds on a plant, creating dark spots on its green leaves.",Dead leaves are feeding on tree.
obs_340326194_photo_619295158,https://inaturalist-open-data.s3.amazonaws.com/photos/619295158/medium.jpg,"A green leaf with dark fungal spots and ragged edges, indicating it has been fed upon by disease and an insect.",Leaf with spots feeding on plant
obs_340337296_photo_536341964,https://inaturalist-open-data.s3.amazonaws.com/photos/536341964/medium.jpg,An orange-brown butterfly sips nectar from yellow flowers.,A butterfly is perched on a yellow flower.
obs_340337865_photo_533753896,https://inaturalist-open-data.s3.amazonaws.com/photos/533753896/medium.jpg,An orange butterfly drinks nectar from purple flowers.,Bee on a purple flower.
obs_340364592_photo_619375042,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,A water strider feeds on a bee on the water's surface.,A large fly preys on a small crustacean in water.
obs_340368188_photo_619383348,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,"A brown, fuzzy insect gall hangs from a thorny plant stem.",Moss feeds on wood.
obs_340433312_photo_619519266,https://inaturalist-open-data.s3.amazonaws.com/photos/619519266/medium.jpg,A larger frog is swallowing a smaller frog.,A frog eating a bug.
obs_340514309_photo_619678757,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,"A hawk feeds on yellow prey, its beak stained red.",No animals are feeding in the image.
obs_340514310_photo_619679014,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,"A hawk feeds on a squirrel, gripping it with its talons on a mossy branch.","A bird, perched on a tree branch, is eating something off the ground."
obs_340542613_photo_619737737,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,A hawk with a bloody beak feeds on a smaller bird.,Bird droppings on the grass.
obs_340825934_photo_620308797,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,A bird feeding on a crab.,Bird is feeding on insect.
obs_340848497_photo_620354560,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,"White, fuzzy insects are feeding on a green leaf.",Aphids are eating the leaves.
obs_340848514_photo_620354575,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,"An adult whitefly and nymphs, surrounded by white waxy filaments, feed on a green leaf.",Aphid is consuming a leaf.
obs_340848746_photo_620355031,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,"A tiny pale insect feeds on a black, white-fringed insect on a green leaf.",Aphid eating a leaf.
obs_341060278_photo_547585371,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,A bee feeds on a purple flower.,Bee feeds on purple wildflowers.
obs_341067936_photo_620805844,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,A honeybee feeds on a yellow flower.,Bee pollinating wildflowers.
obs_341194952_photo_621071156,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,A Great Egret holds a dark rodent in its beak.,Crane feeding on small pond.
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,"A Bufflehead duck feeds on a large, segmented worm.",Duck feeding on water
