Image_name,observation_url,llava_alt_text,llava_score,llava_reason,gemini_alt_text,gemini_score,gemini_reason
obs_102691691_photo_171703626,https://www.inaturalist.org/observations/102691691,Algae growing on the rocks with seaweed.,1,,No feeding activity is visible among the dark brown and reddish marine algae on the wet rocks.,1,
obs_10317797_photo_14298032,https://www.inaturalist.org/observations/10317797,Seagull standing on dock with crab in beak.,0,No crab in beak; it is a starfish on deck,A seagull feeds on a starfish on a wooden deck.,0,Seagull not feeding; starfish sits apart on deck
obs_130480768_photo_70327211,https://www.inaturalist.org/observations/130480768,"An image shows a red-orange fish floating close to the camera with its open mouth, inside of which is a small black object that resembles an eye patch or some other form of artificial enhancement for marine life.",0,Hallucinated eye patch; no black object in mouth,"A dark, curved leech feeds on the side of a pale fish.",1,
obs_188731534_photo_330410184,https://www.inaturalist.org/observations/188731534,The image shows a human hand holding a brown and white nut or seed.,0,Not a nut; it is a hollowed plant gall,"An insect larva feeds within the reddish, hollowed interior of a brown plant gall.",1,
obs_194599339_photo_342107100,https://www.inaturalist.org/observations/194599339,Slug feeding on snail.,1,,A dark land planarian feeds on a snail.,1,
obs_194795499_photo_341224314,https://www.inaturalist.org/observations/194795499,Underwater coral reef fish feeds on algae.,0,No reef fish feeding on algae shown,A sea anemone feeds on a large pale fish.,0,"Anemone with fish/object, not clearly feeding on fish"
obs_195713651_photo_344383957,https://www.inaturalist.org/observations/195713651,The image shows a close-up of a black slug with a shell crawling over a rock surface.,0,"Wrong; it is flatworm on slug, no shell",A dark flatworm engulfing a mottled brown slug.,1,
obs_220102252_photo_389649357,https://www.inaturalist.org/observations/220102252,The bee hovers over a white flower to feed.,0,No white flower; insect on green leaf,The fuzzy insect is not feeding on the green leaf.,1,
obs_220822650_photo_391000325,https://www.inaturalist.org/observations/220822650,An animal eating something on the ground.,0,Too vague to be useful,"A grey bird stands in shallow water, feeding on a reddish sea slug.",1,
obs_250956763_photo_448935283,https://www.inaturalist.org/observations/250956763,A red and white anemone with red tentacles is feeding on an orange sea coral under water.,0,Not an anemone; misidentifies the nudibranch,A translucent nudibranch with brown markings feeds on a colony of orange-rimmed sea squirts.,1,
obs_256022699_photo_458927175,https://www.inaturalist.org/observations/256022699,Dormouse feeding on wild shrubbery.,0,Not a dormouse; it is an arthropod larva,"A translucent, segmented arthropod curled around and feeding on green plant leaves.",1,
obs_258568965_photo_463949088,https://www.inaturalist.org/observations/258568965,Close-up of sea coral feeding on rock surface.,0,Not sea coral; land rock/fungal surface,"Translucent fungal mycelium appears to be feeding on a textured, granular surface.",1,
obs_263836670_photo_474047112,https://www.inaturalist.org/observations/263836670,The bird is using its mouth to eat fish with a spiky head.,0,Not a spiky fish; it is a starfish,A seagull swallowing a purple starfish.,1,
obs_264953671_photo_475827468,https://www.inaturalist.org/observations/264953671,Brown butterfly is feeding on orange flower.,0,"Butterfly on stem, not feeding on flower",An orange slug is feeding on a brown moth on a green stem.,0,"It is a butterfly on stem, not slug on moth"
obs_291009479_photo_523542929,https://www.inaturalist.org/observations/291009479,An unidentified plant is feeding off of the ground.,0,Nonsensical; plant not feeding off ground,A reddish-brown centipede feeds on a dark ant on mossy ground.,0,No visible ant or feeding on mossy ground
obs_302755190_photo_545634287,https://www.inaturalist.org/observations/302755190,"The image shows two photos of a plant with holes in it that appear to have been eaten or bored into, possibly by insects or other creatures. The top photo is taken from a higher angle, showing more of the surrounding area, and the bottom one focuses on the damage to the leaf with a close-up view.",0,Describes holes; shows raised galls on leaf,Insect larvae feeding inside white galls on a green leaf.,1,
obs_318344322_photo_575337712,https://www.inaturalist.org/observations/318344322,,0,Empty alt text,This image does not depict any organisms feeding on others.,1,
obs_318533969_photo_575706140,https://www.inaturalist.org/observations/318533969,"This image depicts an object that resembles a snail, or possibly an insect with a white, spiral shell, crawling across the branch of a tree. The background is blurred but appears to be a wooded area with brown leaves and dirt. There is no text present in the image to provide additional context.",0,Not a snail with spiral shell,A bark-mimicking insect feeds on a tree branch.,1,
obs_319669394_photo_577875426,https://www.inaturalist.org/observations/319669394,Moss growing on the surface of a leaf.,0,It is rust fungus not moss,Orange rust fungus feeds on a green leaf.,1,
obs_321389820_photo_581234419,https://www.inaturalist.org/observations/321389820,Black and white duck swimming in body of water.,0,Misses feeding; wrong that it is generic duck,"A male Eider duck on dark water, swallowing a sea urchin.",1,
obs_323944435_photo_586236533,https://www.inaturalist.org/observations/323944435,Blueberries growing on a pine tree branch.,0,Junipers not blueberries; misses galls,"An unseen organism feeds on a juniper branch, forming a brown gall.",1,
obs_325267824_photo_588882003,https://www.inaturalist.org/observations/325267824,Ant in front of beetle.,0,No ant or separate beetle present,An orange ladybug feeds on a fuzzy brown object.,1,
obs_325625055_photo_589595206,https://www.inaturalist.org/observations/325625055,Green moss feeding on a leaf with brown spots and black edges.,0,Not moss; misidentifies the spots,"A leaf disease feeds on green leaves, creating numerous brown spots and some holes.",1,
obs_326876805_photo_592092171,https://www.inaturalist.org/observations/326876805,Fungus feeding on dead brown leaf.,1,,A black fungal growth consumes a yellow leaf.,1,
obs_327076113_photo_592488640,https://www.inaturalist.org/observations/327076113,An aquatic fish with a silver body and a brown head is feeding on small green objects on rocks.,0,"Fish is prey being eaten, not feeding","A translucent sea anemone feeding on a small, iridescent fish.",1,
obs_331752340_photo_601901044,https://www.inaturalist.org/observations/331752340,"The image shows a close-up of a plant with spotted leaves, which may be feeding on some kind of insect or parasite, but it is not possible to identify what is being fed upon in this description based on the available information.",0,Vague and wrongly suggests insect feeding,"A fungal disease feeds on a green leaf, causing numerous dark spots.",1,
obs_331831594_photo_602051260,https://www.inaturalist.org/observations/331831594,An intricate honeycomb-like structure is growing out of an orange mushroom.,0,No honeycomb structure; wrong description,A yellow banana slug feeds on a light brown mushroom.,1,
obs_332241462_photo_602909620,https://www.inaturalist.org/observations/332241462,Snail feeding on a coral reef.,0,No coral reef; wrong subject,A large slug feeds on a dead salamander on gravelly ground.,1,
obs_333144263_photo_501540234,https://www.inaturalist.org/observations/333144263,Insects feed on moss on lichen covered rock.,0,No insects; hallucinated feeding,A close-up of various lichens shows no visible organism feeding on another.,1,
obs_333664707_photo_605748155,https://www.inaturalist.org/observations/333664707,A red sea coral with long tentacles attached to a small white creature in an underwater environment.,0,Not red coral with white creature,A translucent sea snail is feeding on a beige anemone.,1,
obs_334025380_photo_606497684,https://www.inaturalist.org/observations/334025380,Mushrooms growing on tree bark.,0,On dried leaf not tree bark,"Small, light-brown fungi with thin dark stems feed on a textured, dried leaf.",1,
obs_33435868_photo_52515163,https://www.inaturalist.org/observations/33435868,"Snail-like creature, possibly a slug or a snail, feeding on something that resembles mushrooms with white caps and brown stems.",0,Not a snail eating mushrooms,A dark sea cucumber feeds on a pale mass on the rocky seabed.,0,"Looks like two worms/leeches, not sea cucumber"
obs_334758419_photo_607987821,https://www.inaturalist.org/observations/334758419,"The image is of coral-like growth on a tree branch with red and pink areas. It depicts an up close view of a plant, possibly coral or algae, surrounded by some sort of pink and red substance.",1,,Pink growth feeding on grey-green lichens.,0,Pink is likely lichen; feeding relationship not clearly shown
obs_336269939_photo_611037472,https://www.inaturalist.org/observations/336269939,Slug on a rotten log with wood chips.,0,Not a slug; misidentifies the dark worm-like animals,"A dark, spotted velvet worm feeds on a light-colored isopod amidst brown leaf litter.",1,
obs_337063055_photo_612648507,https://www.inaturalist.org/observations/337063055,Unidentified shellfish feeding on algae underwater coral.,0,"Wrong subject; not algae, it is a conch shell",A reddish-purple sea star feeding on a conch.,1,
obs_337600645_photo_614526508,https://www.inaturalist.org/observations/337600645,A bird pecking at rocks along a beach shoreline.,0,Misses urchins and feeding relationship,A black bird with a pink beak feeds on purple sea urchins on a rocky shore.,1,
obs_337606242_photo_613762919,https://www.inaturalist.org/observations/337606242,The hand of a person holding a leaf with spots.,1,,A fungus feeding on a green leaf.,1,
obs_337610708_photo_613769550,https://www.inaturalist.org/observations/337610708,Man holding a plant in his hand with some form of insect or disease afflicting it.,1,,Powdery mildew feeds on a green leaf held in a human hand.,1,
obs_337610714_photo_613769638,https://www.inaturalist.org/observations/337610714,"Human hand holding a plant with leaves showing signs of pestilism or damage, possibly due to caterpillars or insects feeding on it.",0,"No visible damage; leaves look healthy, hand present","A tiny, pale larva feeds on a green leaf with chew marks.",0,No visible larva or chew marks on healthy leaves
obs_338007030_photo_614585734,https://www.inaturalist.org/observations/338007030,Slug slithering down leafy branch.,0,"It is a snail with shell, not a slug",A close-up of a snail feeding on a green leaf with chewed edges.,1,
obs_338486970_photo_615576074,https://www.inaturalist.org/observations/338486970,Black clam shell with seaweed on sand.,1,,A clam feeding on plankton in shallow water.,0,"Empty clam shell on sand; no feeding, no plankton"
obs_339993526_photo_618618071,https://www.inaturalist.org/observations/339993526,An orange starfish with black spines is eating a small white fish.,0,"Reversed; gull eats starfish, not starfish eating fish",A white bird swallows a brown starfish.,1,
obs_340263466_photo_619175705,https://www.inaturalist.org/observations/340263466,A bright red flower with tiny hairs at its base.,1,,No visible creature is feeding on the vibrant fuchsia flower.,0,"Says no feeding, but describes flower correctly overall"
obs_340271186_photo_619190124,https://www.inaturalist.org/observations/340271186,Small plant growing along sidewalk.,1,,No feeding activity is visible in the image.,1,
obs_340304697_photo_619256274,https://www.inaturalist.org/observations/340304697,A small green and brown snail with a black head is crawling along a stick.,0,"Snail is yellow-black underwater, not on a stick",A large yellow and black patterned aquatic snail feeds on several small dark invertebrates.,0,Single yellow snail underwater; no visible prey invertebrates
obs_340326193_photo_619295159,https://www.inaturalist.org/observations/340326193,No feeding action is apparent in this image.,0,Disease/damage on leaves is clearly visible,"A plant disease feeds on the green leaves of a plant, creating numerous dark spots.",1,
obs_340326194_photo_619295158,https://www.inaturalist.org/observations/340326194,Person's hand holding a leaf with insect spots on it.,1,,Insects feeding on a green leaf.,0,Spots are fungal disease not insects; no insects visible
obs_340337296_photo_536341964,https://www.inaturalist.org/observations/340337296,"A butterfly, resting on a wildflower.",1,,An orange-brown skipper feeds on a yellow flower.,1,
obs_340337865_photo_533753896,https://www.inaturalist.org/observations/340337865,Butterfly feeding on purple flowers.,1,,An orange skipper butterfly sips nectar from a cluster of purple flowers.,1,
obs_340364592_photo_619375042,https://www.inaturalist.org/observations/340364592,Aquatic insect eats through a water body.,0,Vague and misses the feeding/prey detail,A water strider feeds on a small insect on the water's surface.,1,
obs_340368188_photo_619383348,https://www.inaturalist.org/observations/340368188,Brown flowering off of tree branch.,0,"Called it flowering, wrong; it's a gall","Gall wasp larvae feed inside a brown, spiky gall on a thorny branch.",1,
obs_340433312_photo_619519266,https://www.inaturalist.org/observations/340433312,Frogs eating insects.,0,"Says eating insects, but it's another frog","A dark brown frog on gravel is swallowing a smaller, lighter-colored frog.",1,
obs_340514309_photo_619678757,https://www.inaturalist.org/observations/340514309,Brown and white hawk perched on a tree trunk.,1,,"A hawk feeds on its prey, holding a bone in its bloodied beak.",0,No prey or bone visible; hawk just perched
obs_340514310_photo_619679014,https://www.inaturalist.org/observations/340514310,Bird sitting on tree branch holding prey in beak.,0,"Says prey in beak, but held in talons",A raptor feeds on a grey squirrel on a mossy tree branch.,1,
obs_340542613_photo_619737737,https://www.inaturalist.org/observations/340542613,Brown and white hawk with red eye eating.,1,,"A hawk stands on green grass, feeding on a smaller bird with blood on its beak.",0,Hawk on grass but no visible prey bird
obs_340825934_photo_620308797,https://www.inaturalist.org/observations/340825934,"This is an image of a small bird with a red head and white underbelly feeding on a larger bird, possibly another kind of bird or a small mammal.",0,Not feeding on a bird or mammal,A crested bird in green foliage feeds on a crab.,0,"Bird eats a worm/grub, not a crab"
obs_340848497_photo_620354560,https://www.inaturalist.org/observations/340848497,"The image shows a plant, possibly a flower or seed pod, with various stages of growth and decay happening around it.",0,Wrong; describes a flower/seed pod,White scale insects feed on a green leaf.,1,
obs_340848514_photo_620354575,https://www.inaturalist.org/observations/340848514,An insect is feeding on a leaf with a lot of bugs on it.,1,,A whitefly and its nymphs feed on a green leaf.,1,
obs_340848746_photo_620355031,https://www.inaturalist.org/observations/340848746,"A small caterpillar on a leafy stem, about to be eaten by a ladybug.",0,No caterpillar or ladybug; it's a scale insect,"A small, pale insect feeds on a black scale insect on a green leaf.",1,
obs_341060278_photo_547585371,https://www.inaturalist.org/observations/341060278,Small bee hovering near purple flowers.,1,,A blurry bee feeds on purple flowers.,0,"Bee is flying near, not feeding on flowers"
obs_341067936_photo_620805844,https://www.inaturalist.org/observations/341067936,A bee feeding on nectar from a flower.,1,,A bee feeds on a yellow flower.,1,
obs_341194952_photo_621071156,https://www.inaturalist.org/observations/341194952,"Black and white heron standing on gravel, near street sign, with its head down to eat something it caught in the water.",0,"Says heron near water, but on gravel path","A white egret stands on a gravel path, holding a dark, captured small animal in its beak.",1,
obs_64497720_photo_103704678,https://www.inaturalist.org/observations/64497720,A penguin with an open beak is swimming through water.,0,"Wrong; it's a duck, not a penguin","A Bufflehead duck swallows a long, dark, ribbed aquatic invertebrate.",1,
